# x_m,y_m,w_tr_right_m,w_tr_left_m
4.7935,-24.1208,1.8500,1.8500
4.8435,-24.1208,1.8500,1.8500
4.8935,-24.1208,1.8500,1.8500
4.9435,-24.1208,1.8500,1.8500
4.9935,-24.1208,1.8507,1.8507
5.0435,-24.1208,1.8527,1.8527
5.0935,-24.1208,1.8561,1.8561
5.1435,-24.1208,1.8608,1.8608
5.1935,-24.1208,1.8668,1.8668
5.2435,-24.1208,1.8742,1.8742
5.2935,-24.1208,1.8828,1.8828
5.3435,-24.1208,1.8927,1.8927
5.3935,-24.1208,1.9039,1.9039
5.4435,-24.1208,1.9164,1.9164
5.4935,-24.1208,1.9105,1.9105
5.5435,-24.0708,1.8974,1.8974
5.5935,-24.0708,1.9138,1.9138
5.6435,-24.0708,1.9313,1.9313
5.6935,-24.0708,1.9320,1.9320
5.7435,-24.0708,1.9235,1.9235
5.7935,-24.0708,1.9164,1.9164
5.8435,-24.0708,1.9105,1.9105
5.8935,-24.0708,1.9059,1.9059
5.9435,-24.0708,1.9026,1.9026
5.9935,-24.0208,1.9416,1.9416
6.0435,-24.0208,1.9320,1.9320
6.0935,-23.9708,1.9729,1.9729
6.1435,-23.9708,1.9647,1.9647
6.1935,-23.9208,2.0012,2.0012
6.2435,-23.8708,2.0396,2.0396
6.2935,-23.8708,2.0261,2.0261
6.3435,-23.8208,2.0616,2.0616
6.3935,-23.8208,2.0500,2.0500
6.4435,-23.7708,2.0670,2.0670
6.4935,-23.7208,2.0839,2.0839
6.5435,-23.6708,2.1030,2.1030
6.5935,-23.6208,2.1219,2.1219
6.6435,-23.5708,2.1319,2.1319
6.6935,-23.5208,2.1401,2.1401
6.7435,-23.4708,2.1506,2.1506
6.7435,-23.4208,2.1219,2.1219
6.7935,-23.3708,2.1360,2.1360
6.7935,-23.3208,2.1095,2.1095
6.8435,-23.2708,2.1272,2.1272
6.8435,-23.2208,2.1030,2.1030
6.8435,-23.1708,2.0797,2.0797
6.8435,-23.1208,2.0573,2.0573
6.8935,-23.0708,2.0815,2.0815
6.8935,-23.0208,2.0616,2.0616
6.8935,-22.9708,2.0427,2.0427
6.8935,-22.9208,2.0248,2.0248
6.9435,-22.8708,2.0555,2.0555
6.9435,-22.8208,2.0402,2.0402
6.9435,-22.7708,2.0261,2.0261
6.9435,-22.7208,2.0131,2.0131
6.8935,-22.6708,1.9526,1.9526
6.8935,-22.6208,1.9416,1.9416
6.8935,-22.5708,1.9320,1.9320
6.8935,-22.5208,1.9235,1.9235
6.8935,-22.4708,1.9164,1.9164
6.8935,-22.4208,1.9105,1.9105
6.8935,-22.3708,1.9059,1.9059
6.8935,-22.3208,1.9026,1.9026
6.8935,-22.2708,1.9007,1.9007
6.8935,-22.2208,1.9000,1.9000
6.8435,-22.1708,1.8500,1.8500
6.8435,-22.1208,1.8500,1.8500
6.8435,-22.0708,1.8500,1.8500
6.8435,-22.0208,1.8500,1.8500
6.8435,-21.9708,1.8500,1.8500
6.8435,-21.9208,1.8500,1.8500
6.8435,-21.8708,1.8507,1.8507
6.8435,-21.8208,1.8527,1.8527
6.8435,-21.7708,1.8561,1.8561
6.7935,-21.7208,1.8111,1.8111
6.7935,-21.6708,1.8173,1.8173
6.7935,-21.6208,1.8248,1.8248
6.7935,-21.5708,1.8337,1.8337
6.7935,-21.5208,1.8439,1.8439
6.7935,-21.4708,1.8554,1.8554
6.7935,-21.4208,1.8668,1.8668
6.7935,-21.3708,1.8742,1.8742
6.7935,-21.3208,1.8828,1.8828
6.7435,-21.2708,1.8439,1.8439
6.7435,-21.2208,1.8554,1.8554
6.7435,-21.1708,1.8682,1.8682
6.7435,-21.1208,1.8822,1.8822
6.7435,-21.0708,1.8927,1.8927
6.7435,-21.0208,1.9039,1.9039
6.7435,-20.9708,1.9164,1.9164
6.7435,-20.9208,1.9164,1.9164
6.6935,-20.8708,1.8927,1.8927
6.6935,-20.8208,1.9039,1.9039
6.6935,-20.7708,1.9164,1.9164
6.6935,-20.7208,1.9164,1.9164
6.6935,-20.6708,1.9039,1.9039
6.6435,-20.6208,1.9039,1.9039
6.6435,-20.5708,1.9164,1.9164
6.6435,-20.5208,1.9164,1.9164
6.6435,-20.4708,1.9039,1.9039
6.5935,-20.4208,1.9039,1.9039
6.5935,-20.3708,1.9164,1.9164
6.5935,-20.3208,1.9164,1.9164
6.5935,-20.2708,1.9039,1.9039
6.5435,-20.2208,1.9138,1.9138
6.5435,-20.1708,1.9300,1.9300
6.5435,-20.1208,1.9164,1.9164
6.5435,-20.0708,1.9039,1.9039
6.4935,-20.0208,1.9164,1.9164
6.4935,-19.9708,1.9300,1.9300
6.4935,-19.9208,1.9164,1.9164
6.4935,-19.8708,1.9039,1.9039
6.4435,-19.8208,1.9300,1.9300
