# x_m,y_m,w_tr_right_m,w_tr_left_m
2.3900,-0.0900,0.6600,0.6600
2.4100,-0.0900,0.6600,0.6600
2.4300,-0.0900,0.6600,0.6600
2.4500,-0.0900,0.6600,0.6600
2.4700,-0.0900,0.6600,0.6600
2.4900,-0.0900,0.6600,0.6600
2.5100,-0.1100,0.6400,0.6400
2.5300,-0.1100,0.6400,0.6400
2.5500,-0.1100,0.6400,0.6400
2.5700,-0.1100,0.6400,0.6400
2.5900,-0.1100,0.6400,0.6400
2.6100,-0.1100,0.6400,0.6400
2.6300,-0.1100,0.6400,0.6400
2.6500,-0.1100,0.6400,0.6400
2.6700,-0.1100,0.6400,0.6400
2.6900,-0.1100,0.6400,0.6400
2.7100,-0.1100,0.6400,0.6400
2.7300,-0.1100,0.6400,0.6400
2.7500,-0.1100,0.6400,0.6400
2.7700,-0.1100,0.6400,0.6400
2.7900,-0.1100,0.6403,0.6403
2.8100,-0.1100,0.6412,0.6412
2.8300,-0.1100,0.6428,0.6428
2.8500,-0.1100,0.6450,0.6450
2.8700,-0.1100,0.6478,0.6478
2.8900,-0.1100,0.6512,0.6512
2.9100,-0.1100,0.6551,0.6551
2.9300,-0.1100,0.6597,0.6597
2.9500,-0.0900,0.6603,0.6603
2.9700,-0.0900,0.6612,0.6612
2.9900,-0.0900,0.6627,0.6627
3.0100,-0.1100,0.6835,0.6835
3.0300,-0.1100,0.6873,0.6873
3.0500,-0.1100,0.6905,0.6905
3.0700,-0.1100,0.6943,0.6943
3.0900,-0.1100,0.6986,0.6986
3.1100,-0.1100,0.7034,0.7034
3.1300,-0.1100,0.7088,0.7088
3.1500,-0.1300,0.7272,0.7272
3.1700,-0.1300,0.7376,0.7376
3.1900,-0.1300,0.7422,0.7422
3.2100,-0.1300,0.7473,0.7473
3.2300,-0.1300,0.7529,0.7529
3.2500,-0.1300,0.7589,0.7589
3.2700,-0.1300,0.7655,0.7655
3.2900,-0.1100,0.7539,0.7539
3.3100,-0.1100,0.7616,0.7616
3.3300,-0.0900,0.7515,0.7515
3.3500,-0.0900,0.7507,0.7507
3.3700,-0.0700,0.7515,0.7515
3.3900,-0.0500,0.7424,0.7424
3.4100,-0.0500,0.7440,0.7440
3.4300,-0.0300,0.7403,0.7403
3.4500,-0.0100,0.7376,0.7376
3.4700,0.0100,0.7324,0.7324
3.4900,0.0300,0.7280,0.7280
3.5100,0.0300,0.7214,0.7214
3.5300,0.0500,0.7214,0.7214
3.5500,0.0700,0.7214,0.7214
3.5700,0.0900,0.7225,0.7225
3.5900,0.1100,0.7214,0.7214
3.6100,0.1300,0.7155,0.7155
3.6100,0.1500,0.7077,0.7077
3.6300,0.1700,0.7071,0.7071
3.6500,0.1900,0.7071,0.7071
3.6700,0.2100,0.7046,0.7046
3.6900,0.2300,0.7000,0.7000
3.6900,0.2500,0.6931,0.6931
3.7100,0.2700,0.6931,0.6931
3.7300,0.2900,0.6931,0.6931
3.7500,0.3100,0.6931,0.6931
3.7700,0.3300,0.6943,0.6943
3.7900,0.3500,0.6896,0.6896
3.7900,0.3700,0.6841,0.6841
3.8100,0.3900,0.6882,0.6882
3.8300,0.4100,0.6882,0.6882
3.8300,0.4300,0.6826,0.6826
3.8500,0.4500,0.6896,0.6896
3.8700,0.4700,0.6888,0.6888
3.8700,0.4900,0.6888,0.6888
3.8900,0.5100,0.6888,0.6888
3.8900,0.5300,0.6888,0.6888
3.9100,0.5500,0.6888,0.6888
3.9100,0.5700,0.6888,0.6888
3.9300,0.5900,0.6896,0.6896
3.9300,0.6100,0.6908,0.6908
3.9300,0.6300,0.6835,0.6835
3.9500,0.6500,0.6896,0.6896
3.9500,0.6700,0.6896,0.6896
3.9500,0.6900,0.6841,0.6841
3.9500,0.7100,0.6791,0.6791
3.9700,0.7300,0.6943,0.6943
3.9700,0.7500,0.6905,0.6905
3.9700,0.7700,0.6873,0.6873
3.9900,0.7900,0.7023,0.7023
3.9900,0.8100,0.6957,0.6957
3.9900,0.8300,0.6896,0.6896
3.9900,0.8500,0.6841,0.6841
3.9900,0.8700,0.6791,0.6791
3.9700,0.8900,0.6551,0.6551
3.9700,0.9100,0.6512,0.6512
3.9700,0.9300,0.6478,0.6478
3.9700,0.9500,0.6450,0.6450
3.9700,0.9700,0.6428,0.6428
3.9700,0.9900,0.6412,0.6412
3.9700,1.0100,0.6403,0.6403
3.9700,1.0300,0.6400,0.6400
3.9700,1.0500,0.6391,0.6391
3.9700,1.0700,0.6325,0.6325
3.9700,1.0900,0.6264,0.6264
3.9500,1.1100,0.6083,0.6083
3.9500,1.1300,0.6053,0.6053
3.9500,1.1500,0.6030,0.6030
3.9500,1.1700,0.6013,0.6013
3.9500,1.1900,0.6003,0.6003
3.9500,1.2100,0.6000,0.6000
3.9500,1.2300,0.6000,0.6000
3.9500,1.2500,0.6000,0.6000
3.9500,1.2700,0.6000,0.6000
3.9500,1.2900,0.6000,0.6000
3.9500,1.3100,0.6000,0.6000
3.9500,1.3300,0.6000,0.6000
3.9500,1.3500,0.6000,0.6000
3.9500,1.3700,0.6000,0.6000
3.9500,1.3900,0.6000,0.6000
3.9500,1.4100,0.6000,0.6000
3.9500,1.4300,0.6000,0.6000
3.9500,1.4500,0.6000,0.6000
3.9500,1.4700,0.6003,0.6003
3.9500,1.4900,0.6013,0.6013
3.9500,1.5100,0.6030,0.6030
3.9500,1.5300,0.6053,0.6053
3.9500,1.5500,0.6083,0.6083
3.9500,1.5700,0.6119,0.6119
3.9500,1.5900,0.6161,0.6161
3.9500,1.6100,0.6203,0.6203
3.9500,1.6300,0.6213,0.6213
3.9500,1.6500,0.6229,0.6229
3.9500,1.6700,0.6251,0.6251
3.9500,1.6900,0.6280,0.6280
3.9500,1.7100,0.6315,0.6315
3.9500,1.7300,0.6356,0.6356
3.9500,1.7500,0.6403,0.6403
3.9500,1.7700,0.6456,0.6456
3.9500,1.7900,0.6515,0.6515
3.9500,1.8100,0.6579,0.6579
3.9500,1.8300,0.6648,0.6648
3.9500,1.8500,0.6705,0.6705
3.9500,1.8700,0.6747,0.6747
3.9500,1.8900,0.6791,0.6791
3.9500,1.9100,0.6841,0.6841
3.9500,1.9300,0.6896,0.6896
3.9500,1.9500,0.6957,0.6957
3.9500,1.9700,0.7023,0.7023
3.9500,1.9900,0.7088,0.7088
3.9500,2.0100,0.7139,0.7139
3.9500,2.0300,0.7181,0.7181
3.9700,2.0500,0.7422,0.7422
3.9700,2.0700,0.7473,0.7473
3.9700,2.0900,0.7529,0.7529
3.9700,2.1100,0.7571,0.7571
3.9700,2.1300,0.7616,0.7616
3.9700,2.1500,0.7642,0.7642
3.9500,2.1700,0.7467,0.7467
3.9500,2.1900,0.7497,0.7497
3.9500,2.2100,0.7531,0.7531
3.9500,2.2300,0.7571,0.7571
3.9500,2.2500,0.7616,0.7616
3.9300,2.2700,0.7473,0.7473
3.9300,2.2900,0.7529,0.7529
3.9300,2.3100,0.7589,0.7589
3.9300,2.3300,0.7655,0.7655
3.9300,2.3500,0.7666,0.7666
3.9300,2.3700,0.7616,0.7616
3.9300,2.3900,0.7571,0.7571
3.9100,2.4100,0.7728,0.7728
3.9100,2.4300,0.7694,0.7694
3.9100,2.4500,0.7666,0.7666
3.8900,2.4700,0.7841,0.7841
3.8900,2.4900,0.7823,0.7823
3.8700,2.5100,0.7879,0.7879
3.8700,2.5300,0.7962,0.7962
3.8500,2.5500,0.7871,0.7871
3.8500,2.5700,0.7962,0.7962
3.8500,2.5900,0.7879,0.7879
3.8300,2.6100,0.7912,0.7912
3.8300,2.6300,0.7912,0.7912
3.8100,2.6500,0.7879,0.7879
3.8100,2.6700,0.7962,0.7962
3.7900,2.6900,0.7871,0.7871
3.7900,2.7100,0.7965,0.7965
3.7700,2.7300,0.7889,0.7889
3.7500,2.7500,0.7823,0.7823
3.7500,2.7700,0.7932,0.7932
3.7300,2.7900,0.7882,0.7882
3.7300,2.8100,0.7992,0.7992
3.7300,2.8300,0.7889,0.7889
3.7100,2.8500,0.7965,0.7965
3.6900,2.8700,0.8000,0.8000
3.6900,2.8900,0.7962,0.7962
3.6700,2.9100,0.8062,0.8062
3.6500,2.9300,0.8045,0.8045
3.6500,2.9500,0.8062,0.8062
3.6300,2.9700,0.8122,0.8122
3.6300,2.9900,0.8050,0.8050
3.6100,3.0100,0.8141,0.8141
3.5900,3.0300,0.8207,0.8207
3.5900,3.0500,0.8141,0.8141
3.5700,3.0700,0.8229,0.8229
3.5500,3.0900,0.8319,0.8319
3.5300,3.1100,0.8374,0.8374
3.5300,3.1300,0.8319,0.8319
3.5100,3.1500,0.8410,0.8410
3.4900,3.1700,0.8497,0.8497
3.4700,3.1900,0.8588,0.8588
3.4500,3.2100,0.8628,0.8628
3.4300,3.2300,0.8628,0.8628
3.4300,3.2500,0.8653,0.8653
3.4100,3.2700,0.8713,0.8713
3.3900,3.2900,0.8782,0.8782
3.3700,3.3100,0.8841,0.8841
3.3500,3.3300,0.8881,0.8881
3.3300,3.3500,0.8931,0.8931
3.3100,3.3700,0.8964,0.8964
3.3100,3.3900,0.9000,0.9000
3.2900,3.4100,0.9044,0.9044
3.2700,3.4300,0.9097,0.9097
3.2500,3.4500,0.9159,0.9159
3.2300,3.4700,0.9209,0.9209
3.2100,3.4900,0.9265,0.9265
3.1900,3.5100,0.9323,0.9323
3.1700,3.5300,0.9374,0.9374
3.1500,3.5500,0.9434,0.9434
3.1300,3.5500,0.9330,0.9330
3.1100,3.5700,0.9402,0.9402
3.0900,3.5900,0.9483,0.9483
3.0700,3.6100,0.9571,0.9571
3.0500,3.6300,0.9660,0.9660
3.0300,3.6300,0.9571,0.9571
3.0100,3.6500,0.9666,0.9666
2.9900,3.6700,0.9769,0.9769
2.9700,3.6700,0.9693,0.9693
2.9500,3.6900,0.9808,0.9808
2.9300,3.6900,0.9741,0.9741
2.9100,3.7100,0.9867,0.9867
2.8900,3.7100,0.9808,0.9808
2.8700,3.7100,0.9741,0.9741
2.8500,3.7300,0.9867,0.9867
2.8300,3.7300,0.9808,0.9808
2.8100,3.7500,0.9946,0.9946
2.7900,3.7500,0.9895,0.9895
2.7700,3.7700,1.0044,1.0044
2.7500,3.7700,1.0002,1.0002
2.7300,3.7900,1.0161,1.0161
2.7100,3.7900,1.0127,1.0127
2.6900,3.8100,1.0296,1.0296
2.6700,3.8100,1.0270,1.0270
2.6500,3.8100,1.0239,1.0239
2.6300,3.8300,1.0394,1.0394
2.6100,3.8300,1.0358,1.0358
2.5900,3.8300,1.0309,1.0309
2.5700,3.8500,1.0440,1.0440
2.5500,3.8500,1.0385,1.0385
2.5300,3.8700,1.0526,1.0526
2.5100,3.8700,1.0479,1.0479
2.4900,3.8700,1.0435,1.0435
2.4700,3.8900,1.0562,1.0562
2.4500,3.8900,1.0500,1.0500
2.4300,3.8900,1.0440,1.0440
2.4100,3.8900,1.0385,1.0385
2.3900,3.9100,1.0526,1.0526
2.3700,3.9100,1.0479,1.0479
2.3500,3.9300,1.0630,1.0630
2.3300,3.9300,1.0577,1.0577
2.3100,3.9300,1.0526,1.0526
2.2900,3.9300,1.0479,1.0479
2.2700,3.9500,1.0630,1.0630
2.2500,3.9500,1.0577,1.0577
2.2300,3.9500,1.0526,1.0526
2.2100,3.9700,1.0673,1.0673
2.1900,3.9700,1.0630,1.0630
2.1700,3.9700,1.0591,1.0591
2.1500,3.9700,1.0555,1.0555
2.1300,3.9900,1.0720,1.0720
2.1100,3.9900,1.0692,1.0692
2.0900,3.9900,1.0668,1.0668
2.0700,4.0100,1.0846,1.0846
2.0500,4.0100,1.0826,1.0826
2.0300,4.0100,1.0787,1.0787
2.0100,4.0100,1.0752,1.0752
1.9900,4.0100,1.0720,1.0720
1.9700,4.0100,1.0692,1.0692
1.9500,4.0300,1.0866,1.0866
1.9300,4.0300,1.0826,1.0826
1.9100,4.0300,1.0787,1.0787
1.8900,4.0500,1.0949,1.0949
1.8700,4.0500,1.0918,1.0918
1.8500,4.0500,1.0881,1.0881
1.8300,4.0700,1.0984,1.0984
1.8100,4.0700,1.0964,1.0964
1.7900,4.0700,1.0914,1.0914
1.7700,4.0700,1.0868,1.0868
1.7500,4.0900,1.0890,1.0890
1.7300,4.0900,1.0866,1.0866
1.7100,4.0900,1.0846,1.0846
1.6900,4.0900,1.0830,1.0830
1.6700,4.1100,1.0617,1.0617
1.6500,4.1100,1.0608,1.0608
1.6300,4.1100,1.0602,1.0602
1.6100,4.1100,1.0600,1.0600
1.5900,4.1100,1.0591,1.0591
1.5700,4.1100,1.0555,1.0555
1.5500,4.1100,1.0522,1.0522
1.5300,4.1100,1.0494,1.0494
1.5100,4.1100,1.0469,1.0469
1.4900,4.1100,1.0448,1.0448
1.4700,4.1100,1.0431,1.0431
1.4500,4.1100,1.0417,1.0417
1.4300,4.1100,1.0408,1.0408
1.4100,4.1300,1.0202,1.0202
1.3900,4.1300,1.0200,1.0200
1.3700,4.1300,1.0200,1.0200
1.3500,4.1300,1.0200,1.0200
1.3300,4.1300,1.0200,1.0200
1.3100,4.1300,1.0200,1.0200
1.2900,4.1300,1.0200,1.0200
1.2700,4.1300,1.0200,1.0200
1.2500,4.1300,1.0200,1.0200
1.2300,4.1300,1.0200,1.0200
1.2100,4.1300,1.0200,1.0200
1.1900,4.1100,1.0231,1.0231
1.1700,4.1100,1.0218,1.0218
1.1500,4.1100,1.0208,1.0208
1.1300,4.1100,1.0202,1.0202
1.1100,4.1100,1.0200,1.0200
1.0900,4.0900,1.0000,1.0000
1.0700,4.0900,1.0002,1.0002
