# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.1100,-13.4300,0.7500,0.7500
-0.0600,-13.4300,0.7500,0.7500
-0.0100,-13.4300,0.7517,0.7517
0.0400,-13.4300,0.7566,0.7566
0.0900,-13.3800,0.7159,0.7159
0.1400,-13.3800,0.7280,0.7280
0.1900,-13.3800,0.7433,0.7433
0.2400,-13.3300,0.7018,0.7018
0.2900,-13.3300,0.7071,0.7071
0.3400,-13.2800,0.6671,0.6671
0.3900,-13.2800,0.6801,0.6801
0.4400,-13.2300,0.6500,0.6500
0.4900,-13.1800,0.6265,0.6265
0.5400,-13.1300,0.6103,0.6103
0.5900,-13.0800,0.6021,0.6021
0.6400,-13.0800,0.6021,0.6021
0.6900,-13.0300,0.6021,0.6021
0.7400,-12.9800,0.5831,0.5831
0.7900,-12.9300,0.5590,0.5590
0.7900,-12.8800,0.5657,0.5657
0.8400,-12.8300,0.5657,0.5657
0.8900,-12.7800,0.5657,0.5657
0.9400,-12.7300,0.5701,0.5701
0.9400,-12.6800,0.5408,0.5408
0.9900,-12.6300,0.5590,0.5590
1.0400,-12.5800,0.5852,0.5852
1.0400,-12.5300,0.5701,0.5701
1.0400,-12.4800,0.5590,0.5590
1.0400,-12.4300,0.5523,0.5523
1.0900,-12.3800,0.6000,0.6000
1.0900,-12.3300,0.5852,0.5852
1.0900,-12.2800,0.5701,0.5701
1.0900,-12.2300,0.5590,0.5590
1.0900,-12.1800,0.5523,0.5523
1.0900,-12.1300,0.5500,0.5500
1.1400,-12.0800,0.6000,0.6000
1.1400,-12.0300,0.6000,0.6000
1.1400,-11.9800,0.6000,0.6000
1.1400,-11.9300,0.6000,0.6000
1.1400,-11.8800,0.6000,0.6000
1.1400,-11.8300,0.6000,0.6000
1.1400,-11.7800,0.6000,0.6000
1.1400,-11.7300,0.6000,0.6000
1.1400,-11.6800,0.6000,0.6000
1.1400,-11.6300,0.6021,0.6021
1.1400,-11.5800,0.6083,0.6083
1.1400,-11.5300,0.6185,0.6185
1.1400,-11.4800,0.6325,0.6325
1.1400,-11.4300,0.6500,0.6500
1.1400,-11.3800,0.6500,0.6500
1.1400,-11.3300,0.6519,0.6519
1.1400,-11.2800,0.6576,0.6576
1.1400,-11.2300,0.6671,0.6671
1.1400,-11.1800,0.6801,0.6801
1.1900,-11.1300,0.6801,0.6801
1.1900,-11.0800,0.6964,0.6964
1.1400,-11.0300,0.7382,0.7382
1.1400,-10.9800,0.7500,0.7500
1.1400,-10.9300,0.7500,0.7500
1.1400,-10.8800,0.7500,0.7500
1.1400,-10.8300,0.7433,0.7433
