# x_m,y_m,w_tr_right_m,w_tr_left_m
7.6990,-3.8880,2.1272,2.1272
7.6990,-3.8380,2.1077,2.1077
7.6990,-3.7880,2.0893,2.0893
7.7490,-3.7380,2.1190,2.1190
7.7490,-3.6880,2.1030,2.1030
7.7490,-3.6380,2.0881,2.0881
7.7490,-3.5880,2.0742,2.0742
7.7990,-3.5380,2.1101,2.1101
7.7990,-3.4880,2.0988,2.0988
7.7990,-3.4380,2.0887,2.0887
7.7990,-3.3880,2.0797,2.0797
7.8490,-3.3380,2.1213,2.1213
7.8490,-3.2880,2.1148,2.1148
7.8490,-3.2380,2.1095,2.1095
7.8490,-3.1880,2.1054,2.1054
7.8490,-3.1380,2.1024,2.1024
7.8990,-3.0880,2.1506,2.1506
7.8990,-3.0380,2.1500,2.1500
7.8990,-2.9880,2.1500,2.1500
7.8990,-2.9380,2.1500,2.1500
7.9490,-2.8880,2.2000,2.2000
7.9490,-2.8380,2.2000,2.2000
7.9490,-2.7880,2.2000,2.2000
7.9490,-2.7380,2.2000,2.2000
7.9990,-2.6880,2.2500,2.2500
7.9990,-2.6380,2.2500,2.2500
7.9990,-2.5880,2.2500,2.2500
7.9990,-2.5380,2.2500,2.2500
8.0490,-2.4880,2.3005,2.3005
8.0490,-2.4380,2.3022,2.3022
8.0490,-2.3880,2.3049,2.3049
8.0490,-2.3380,2.3087,2.3087
8.0990,-2.2880,2.3633,2.3633
8.0990,-2.2380,2.3691,2.3691
8.0990,-2.1880,2.3759,2.3759
8.0990,-2.1380,2.3838,2.3838
8.0990,-2.0880,2.3927,2.3927
8.1490,-2.0380,2.4515,2.4515
8.1490,-1.9880,2.4622,2.4622
8.1490,-1.9380,2.4739,2.4739
8.1490,-1.8880,2.4865,2.4865
8.1990,-1.8380,2.5480,2.5480
8.1990,-1.7880,2.5622,2.5622
8.1990,-1.7380,2.5773,2.5773
8.1990,-1.6880,2.5933,2.5933
8.1990,-1.6380,2.6086,2.6086
8.1990,-1.5880,2.6196,2.6196
8.2490,-1.5380,2.6800,2.6800
8.2490,-1.4880,2.6926,2.6926
8.2490,-1.4380,2.7000,2.7000
8.2490,-1.3880,2.7000,2.7000
8.2490,-1.3380,2.7000,2.7000
8.2490,-1.2880,2.7000,2.7000
8.2490,-1.2380,2.7000,2.7000
8.2490,-1.1880,2.7000,2.7000
8.2490,-1.1380,2.6968,2.6968
8.1990,-1.0880,2.7286,2.7286
8.1990,-1.0380,2.7295,2.7295
8.1990,-0.9880,2.7226,2.7226
8.1990,-0.9380,2.7166,2.7166
8.1490,-0.8880,2.7286,2.7286
8.1490,-0.8380,2.7372,2.7372
8.1490,-0.7880,2.7459,2.7459
8.1490,-0.7380,2.7372,2.7372
8.0990,-0.6880,2.7171,2.7171
8.0990,-0.6380,2.7286,2.7286
8.0990,-0.5880,2.7409,2.7409
8.0990,-0.5380,2.7541,2.7541
8.0990,-0.4880,2.7459,2.7459
8.0490,-0.4380,2.7286,2.7286
8.0490,-0.3880,2.7372,2.7372
8.0490,-0.3380,2.7459,2.7459
8.0490,-0.2880,2.7554,2.7554
8.0490,-0.2380,2.7459,2.7459
7.9990,-0.1880,2.7286,2.7286
7.9990,-0.1380,2.7409,2.7409
7.9990,-0.0880,2.7541,2.7541
